,title,link,address,gps
86,"Sport, salute e tecnologia a Roncegno",http://www.trentotoday.it/eventi/sport-salute-e-tecnologia-7166702.html,"Viale Giovanni Froner, 3 - Roncegno Terme, Trento, Italia","[46.05304, 11.41152]"
87,"Filippo Degasperi candidato sindaco di Trento con i ""dissidenti"" ex Cinque Stelle",http://www.trentotoday.it/politica/degasperi-candidato-sindaco.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
88,"I sindaci della Vallagarina: ""A22 gratis anche tra Trento e Rovereto""",http://www.trentotoday.it/attualita/a22-gratis-trento-rovereto.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
89,Fiamme nel centro benessere di un hotel a Ledro,http://www.trentotoday.it/cronaca/incendio-sauna-ledro.html,"Localit&agrave; al Faggio - Ledro, Trento, Italia","[45.937387, 10.73935]"
90,Strisce a led che si illuminano al passaggio dei pedoni: la proposta in Comune,http://www.trentotoday.it/attualita/strisce-pedonali-led.html,"Via Torre Verde - Trento, Trento, Italia","[46.071027, 11.123533]"
91,Tutti i Carnevali 2020 in Trentino,http://www.trentotoday.it/eventi/carnevali-trentino-2020.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
92,Picchia la sorella e la chiude fuori casa: denunciato per stalking,http://www.trentotoday.it/cronaca/stalking-fratello-sorella.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
93,"Foibe: lapide rimossa per evitare vandalismi, poi rimessa per la commemorazione",http://www.trentotoday.it/attualita/lapide-foibe-scomparsa.html,"Largo Luigi Pigarelli - Trento, Trento, Italia","[46.066091, 11.125826]"
94,Fiera Idee Ben Essere: il ben-essere a tutto tondo,http://www.trentotoday.it/eventi/fiera-idee-benessere-trento.html,"Via di Briamasco, 2 - Trento, Trento, Italia","[46.064873, 11.116138]"
95,Fabio Concato torna a Trento,http://www.trentotoday.it/eventi/fabio-concato-auditorium.html,"Via Santa Croce, 67 - Trento, Trento, Italia","[46.063447, 11.12452]"
96,Escono di strada ed abbattono le viti prima di schiantarsi: paura per due ragazzi,http://www.trentotoday.it/cronaca/incidente-stradale/dro-ragazzi-auto-vigneto.html,"SS45bis - Dro, Trento, Italia","[45.959249, 10.912844]"
97,"Meteo: la settimana inizia con le nuvole ma sarà serena, possibile nevicata notturna",http://www.trentotoday.it/meteo/previsioni-11-12-13-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
98,Olocausto: la Scuola Primaria di Cembra incontra lo scrittore Casadidio,http://www.trentotoday.it/social/segnalazioni/olocausto-scuola-cembra.html,"Via Negritelle, 3 - Cembra, Trento, Italia","[46.17249, 11.222667]"
99,Weekend: tutti gli appuntamenti in Trentino,http://www.trentotoday.it/eventi/cosa-fare-7-8-9-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
100,Auto a fuoco in corsia d'emergenza sulla A22,http://www.trentotoday.it/cronaca/incidente-stradale/a22-incendio-auto.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
101,"Sorpasso in galleria, poi l'inseguimento: fermato sulla statale con alcol 3 volte il limite",http://www.trentotoday.it/attualita/sorpasso-galleria.html,"Via Statale 12 - Lavis, Trento, Italia","[46.141871, 11.10499]"
102,Meteo: cielo sereno ma temperature molto rigide,http://www.trentotoday.it/meteo/previsioni-weekend-8-9-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
103,Vittime delle Foibe ed esuli giuliani: torna il Giorno del Ricordo,http://www.trentotoday.it/eventi/giorno-ricordo-foibe-2020.html,"Largo Luigi Pigarelli - Trento, Trento, Italia","[46.066091, 11.125826]"
104,"Piazza Duomo si tinge di viola, ecco perchè",http://www.trentotoday.it/attualita/duomo-viola-perche.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
105,Domeniche per famiglie al Buonconsiglio,http://www.trentotoday.it/eventi/buonconsiglio-attivita-bambini.html,"Via dei Ventuno - Trento, Trento, Italia","[46.069472, 11.127332]"
106,Il centrodestra ha scelto il candidato sindaco di Trento: ecco chi è,http://www.trentotoday.it/politica/elezioni-comunali-candidato-centrodestra.html,"Via Torre Verde - Trento, Trento, Italia","[46.071027, 11.123533]"
107,"Incidente a Mezzolombardo, si schiantano all'uscita della galleria: sei ventenni feriti",http://www.trentotoday.it/cronaca/incidente-stradale/mezzolombardo-sei-feriti.html,"Via della Rupe - Mezzolombardo, Trento, Italia","[46.192802, 11.098106]"
108,Fermato dalla Polizia chiama l'avvocato prima dell'alcoltest: gli ritirano la patente comunque,http://www.trentotoday.it/attualita/posto-blocco-chiamare-avvocato.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
109,"Parto in casa, ma la bimba è podalica: a processo i genitori e due ostetriche",http://www.trentotoday.it/cronaca/parto-casa-genitori-processati.html,"Via Carlo Antonio Pilati - Trento, Trento, Italia","[46.06602, 11.12722]"
110,"Dalla Provincia aiuti ai coniugi separati, anche senza figli: approvato il Ddl",http://www.trentotoday.it/politica/aiuti-padri-separati-provincia.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
111,Filtri e cartine ora sono tassati: commercianti denunciati per contrabbando,http://www.trentotoday.it/economia/cartine-filtri-monopolio-stato.html,"Via Bolzano - Trento, Trento, Italia","[46.104564, 11.109925]"
112,"Teleferiche nei boschi dopo Vaia, pericolo per gli elicotteri. I piloti: ""Per noi i cavi sono invisibili""",http://www.trentotoday.it/attualita/slackline-cavi-regole-elicotteri.html,"Via Aeroporto - Trento, Trento, Italia","[46.107419, 11.104034]"
113,"Coronavirus: ""isolamento fiduciario"" raccomandato a chi torna dalla Cina, bambini compresi",http://www.trentotoday.it/cronaca/coronavirus-bambini-cinesi-scuole.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
